"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Bestwesterncom","42374","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/444/813/Exc_638475358392243751_0001_3.html","2024-04-01T02:40:13.010","","0",""
"Bestwesterncom","42568","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/210/813/Exc_638475358336264197_0001_3.html","2024-04-01T02:41:18.223","","0",""
"Bestwesterncom","42568","2024-04-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/702/813/Exc_638475358459487345_0001_3.html","2024-04-01T02:41:35.723","","0",""
"Bestwesterncom","23484","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/113/813/Exc_638475360890619555_0001_3.html","2024-04-01T02:43:06.843","","0",""
"Bestwesterncom","23532","2024-04-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/624/813/Exc_638475360748323709_0001_3.html","2024-04-01T02:43:08.193","","0",""
"Bestwesterncom","69546","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/197/813/Exc_638475360724379744_0001_3.html","2024-04-01T02:43:52.013","","0",""
"Bestwesterncom","71127","2024-04-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/779/813/Exc_638475361072635412_0001_3.html","2024-04-01T02:43:20.697","","0",""
"Bestwesterncom","71127","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/287/813/Exc_638475361061540754_0001_3.html","2024-04-01T02:43:20.447","","0",""
"Bestwesterncom","23532","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/132/813/Exc_638475362212509897_0001_3.html","2024-04-01T02:45:23.683","","0",""
"Bestwesterncom","23519","2024-04-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/612/813/Exc_638475362389701256_0001_3.html","2024-04-01T02:45:57.333","","0",""
"Bestwesterncom","69546","2024-04-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/689/813/Exc_638475362877550584_0001_3.html","2024-04-01T02:47:48.037","","0",""
"Bestwesterncom","221356","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/456/813/Exc_638475362385406209_0001_3.html","2024-04-01T02:47:54.157","","0",""
"Bestwesterncom","262395","2024-04-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/755/813/Exc_638475366447930088_0001_3.html","2024-04-01T02:54:06.437","","0",""
"Bestwesterncom","274197","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/483/813/Exc_638475368448673515_0001_3.html","2024-04-01T02:55:57.440","","0",""
"Bestwesterncom","262395","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/263/813/Exc_638475369448399543_0001_3.html","2024-04-01T02:58:18.297","","0",""
"Bestwesterncom","299580","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/342/813/Exc_638475370669504075_0001_3.html","2024-04-01T02:59:41.490","","0",""
"Bestwesterncom","291691","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/441/813/Exc_638475370375031989_0001_3.html","2024-04-01T02:59:57.343","","0",""
"Bestwesterncom","291692","2024-04-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/426/813/Exc_638475370312036172_0001_3.html","2024-04-01T03:00:02.897","","0",""
"Bestwesterncom","394685","2024-04-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4840/23600288/726/813/Exc_638475374504465143_0001_3.html","2024-04-01T03:06:46.267","","0",""
