"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Bestwesterncom","42568","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/119292/813/Exc_638426921054078250_0001_3.html","2024-02-05T01:12:27.733","","0",""
"Bestwesterncom","42568","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/119288/813/Exc_638426920991677095_0001_3.html","2024-02-05T01:15:41.627","","0",""
"Bestwesterncom","23532","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/119274/813/Exc_638426920948904773_0001_3.html","2024-02-05T01:16:45.287","","0",""
"Bestwesterncom","23532","2024-02-26","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/119276/813/Exc_638426920950936016_0001_3.html","2024-02-05T01:16:54.113","","0",""
"Bestwesterncom","23532","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/119275/813/Exc_638426920947654770_0001_3.html","2024-02-05T01:17:04.493","","0",""
"Bestwesterncom","23519","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/37472/813/Exc_638426926812538882_0001_3.html","2024-02-05T01:22:29.750","","0",""
"Bestwesterncom","71127","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/122417/813/Exc_638426927511389476_0001_3.html","2024-02-05T01:22:49.563","","0",""
"Bestwesterncom","67460","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/32076/813/Exc_638426924705364832_0001_3.html","2024-02-05T01:23:08.990","","0",""
"Bestwesterncom","71127","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/122415/813/Exc_638426927507479521_0001_3.html","2024-02-05T01:23:48.617","","0",""
"Bestwesterncom","23519","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/90428/813/Exc_638426927135649942_0001_3.html","2024-02-05T01:27:14.740","","0",""
"Bestwesterncom","221356","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/122380/813/Exc_638426927217006339_0001_3.html","2024-02-05T01:29:20.470","","0",""
"Bestwesterncom","228101","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/7625/813/Exc_638426931141418290_0001_3.html","2024-02-05T01:31:10.660","","0",""
"Bestwesterncom","256195","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/117353/813/Exc_638426934934926114_0001_3.html","2024-02-05T01:37:42.057","","0",""
"Bestwesterncom","256195","2024-02-26","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/29798/813/Exc_638426934925321515_0001_3.html","2024-02-05T01:40:06.897","","0",""
"Bestwesterncom","256195","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/38195/813/Exc_638426934099384607_0001_3.html","2024-02-05T01:40:44.500","","0",""
"Bestwesterncom","262395","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/118749/813/Exc_638426937886202074_0001_3.html","2024-02-05T01:41:22.690","","0",""
"Bestwesterncom","23519","2024-02-26","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/72446/813/Exc_638426936822302872_0001_3.html","2024-02-05T01:43:23.107","","0",""
"Bestwesterncom","262395","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/70731/813/Exc_638426937976208990_0001_3.html","2024-02-05T01:42:47.780","","0",""
"Bestwesterncom","261897","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/71379/813/Exc_638426939128744930_0001_3.html","2024-02-05T01:44:33","","0",""
"Bestwesterncom","261897","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/94154/813/Exc_638426938486706561_0001_3.html","2024-02-05T01:47:34.470","","0",""
"Bestwesterncom","57059","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/76839/813/Exc_638426936522512961_0001_3.html","2024-02-05T01:45:35.403","","0",""
"Bestwesterncom","69325","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/119165/813/Exc_638426939029681696_0001_3.html","2024-02-05T01:49:32.833","","0",""
"Bestwesterncom","274197","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/12535/813/Exc_638426943202381661_0001_3.html","2024-02-05T01:52:37.463","","0",""
"Bestwesterncom","291691","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/45911/813/Exc_638426954637262926_0001_1.html","2024-02-05T02:05:11.803","","0",""
"Bestwesterncom","16056","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/33408/813/Exc_638426946370544369_0001_3.html","2024-02-05T02:14:25.677","","0",""
"Bestwesterncom","274197","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/105600/813/Exc_638426955617095900_0001_3.html","2024-02-05T02:15:32.807","","0",""
"Bestwesterncom","299768","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/3280/813/Exc_638426958702373087_0001_3.html","2024-02-05T02:16:11.843","","0",""
"Bestwesterncom","299580","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/50500/813/Exc_638426965348050390_0001_3.html","2024-02-05T02:30:20.833","","0",""
"Bestwesterncom","368736","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/54968/813/Exc_638426971612631190_0001_3.html","2024-02-05T02:43:00.077","","0",""
"Bestwesterncom","291692","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/85176/813/Exc_638426978853226032_0001_3.html","2024-02-05T02:47:49.910","","0",""
"Bestwesterncom","394706","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/129407/813/Exc_638426976899042750_0001_3.html","2024-02-05T02:49:07.423","","0",""
"Bestwesterncom","394685","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/95981/813/Exc_638426976823202446_0001_3.html","2024-02-05T02:50:16.887","","0",""
"Bestwesterncom","112704","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/128261/813/Exc_638426971752523353_0001_3.html","2024-02-05T02:51:01.090","","0",""
"Bestwesterncom","299768","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/2667/813/Exc_638426973999767185_0001_3.html","2024-02-05T02:54:22.523","","0",""
"Bestwesterncom","299768","2024-02-26","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/85183/813/Exc_638426978866360434_0001_3.html","2024-02-05T02:53:14.320","","0",""
"Bestwesterncom","439769","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/85180/813/Exc_638426978863080103_0001_3.html","2024-02-05T02:54:04.543","","0",""
"Bestwesterncom","291692","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/85175/813/Exc_638426978852601020_0001_3.html","2024-02-05T02:55:07.813","","0",""
"Bestwesterncom","439769","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/85181/813/Exc_638426978866204178_0001_3.html","2024-02-05T02:55:42.783","","0",""
"Bestwesterncom","440756","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/45861/813/Exc_638426985489276234_0001_3.html","2024-02-05T02:58:56.660","","0",""
"Bestwesterncom","291691","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/40687/813/Exc_638426985642363281_0001_3.html","2024-02-05T03:00:54.293","","0",""
"Bestwesterncom","440281","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/114037/813/Exc_638426986607883281_0001_3.html","2024-02-05T03:05:24.993","","0",""
"Bestwesterncom","69546","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/28356/813/Exc_638426990183049325_0001_3.html","2024-02-05T03:09:33.503","","0",""
"Bestwesterncom","394685","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/115828/813/Exc_638426993472236578_0001_3.html","2024-02-05T03:12:16.880","","0",""
"Bestwesterncom","439769","2024-02-26","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/42527/813/Exc_638426991787784147_0001_3.html","2024-02-05T03:13:07.377","","0",""
"Bestwesterncom","443731","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/139652/813/Exc_638426995395291481_0001_3.html","2024-02-05T03:16:31.480","","0",""
"Bestwesterncom","441101","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/140618/813/Exc_638426993273915194_0001_3.html","2024-02-05T03:15:19.343","","0",""
"Bestwesterncom","499928","2024-02-26","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/50086/813/Exc_638427000323056082_0001_3.html","2024-02-05T03:24:22.160","","0",""
"Bestwesterncom","494542","2024-02-26","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/31786/813/Exc_638427000617017056_0001_3.html","2024-02-05T03:27:25.037","","0",""
"Bestwesterncom","493155","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/64702/813/Exc_638427003591406038_0001_3.html","2024-02-05T03:30:24.393","","0",""
"Bestwesterncom","500336","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/46630/813/Exc_638427004725780217_0001_3.html","2024-02-05T03:32:25.617","","0",""
"Bestwesterncom","532255","2024-02-26","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4784/1537/813/Exc_638427005833535305_0001_3.html","2024-02-05T03:32:36.113","","0",""
