"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Bestwesterncom","42374","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/40870/813/Exc_638396683531324613_0001_3.html","2024-01-01T01:13:33.077","","0",""
"Bestwesterncom","23532","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/46452/813/Exc_638396682852922785_0001_3.html","2024-01-01T01:13:26.050","","0",""
"Bestwesterncom","23532","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/46451/813/Exc_638396682833079768_0001_3.html","2024-01-01T01:13:26.210","","0",""
"Bestwesterncom","23519","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/46442/813/Exc_638396682850647534_0001_3.html","2024-01-01T01:13:38.307","","0",""
"Bestwesterncom","42374","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/40871/813/Exc_638396683529918176_0001_3.html","2024-01-01T01:13:58.987","","0",""
"Bestwesterncom","69546","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/7923/813/Exc_638396685870472698_0001_3.html","2024-01-01T01:17:42.967","","0",""
"Bestwesterncom","69546","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/7922/813/Exc_638396685869222708_0001_3.html","2024-01-01T01:17:47.373","","0",""
"Bestwesterncom","23519","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/46440/813/Exc_638396682817086028_0001_3.html","2024-01-01T01:19:35.910","","0",""
"Bestwesterncom","71127","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/112623/813/Exc_638396687261828223_0001_3.html","2024-01-01T01:19:28.787","","0",""
"Bestwesterncom","42568","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/136186/813/Exc_638396686813937294_0001_3.html","2024-01-01T01:20:00.653","","0",""
"Bestwesterncom","71127","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/96637/813/Exc_638396687879849587_0001_3.html","2024-01-01T01:20:59.750","","0",""
"Bestwesterncom","42568","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/44826/813/Exc_638396688552801137_0001_3.html","2024-01-01T01:22:41.930","","0",""
"Bestwesterncom","221356","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/59882/813/Exc_638396689462923811_0001_3.html","2024-01-01T01:24:07.517","","0",""
"Bestwesterncom","221356","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/59881/813/Exc_638396689456049099_0001_3.html","2024-01-01T01:24:04.590","","0",""
"Bestwesterncom","256195","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/52885/813/Exc_638396693992881034_0001_3.html","2024-01-01T01:31:37.830","","0",""
"Bestwesterncom","256195","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/25661/813/Exc_638396694366183338_0001_3.html","2024-01-01T01:32:52.957","","0",""
"Bestwesterncom","261897","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/8483/813/Exc_638396695164967862_0001_3.html","2024-01-01T01:33:26.320","","0",""
"Bestwesterncom","261897","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/8482/813/Exc_638396695161286507_0001_3.html","2024-01-01T01:33:29.647","","0",""
"Bestwesterncom","274197","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4749/98392/813/Exc_638396695729467663_0001_3.html","2024-01-01T01:33:58.010","","0",""
