"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Bestwesterncom","42374","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/444/813/Exc_638505580002451581_0001_3.html","2024-05-06T02:08:22.563","","0",""
"Bestwesterncom","23532","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/132/813/Exc_638505580481213385_0001_3.html","2024-05-06T02:09:39.073","","0",""
"Bestwesterncom","42568","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/702/813/Exc_638505581240914311_0001_3.html","2024-05-06T02:10:43.093","","0",""
"Bestwesterncom","69546","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/197/813/Exc_638505581245790279_0001_3.html","2024-05-06T02:11:07.813","","0",""
"Bestwesterncom","23519","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/612/813/Exc_638505580420650550_0001_3.html","2024-05-06T02:10:05.087","","0",""
"Bestwesterncom","42568","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/210/813/Exc_638505580907030526_0001_3.html","2024-05-06T02:10:57.483","","0",""
"Bestwesterncom","69546","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/689/813/Exc_638505581247196189_0001_3.html","2024-05-06T02:11:01.267","","0",""
"Bestwesterncom","23519","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/120/813/Exc_638505581283809058_0001_3.html","2024-05-06T02:11:20.733","","0",""
"Bestwesterncom","23484","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/113/813/Exc_638505581247977265_0001_3.html","2024-05-06T02:11:27.620","","0",""
"Bestwesterncom","23484","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/845/4875/25158666/605/813/Exc_638505581301971856_0001_3.html","2024-05-06T02:11:31.253","","0",""
