"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Choicehotelscom","54827","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3335/809/Exc_638426926451737969_0001_1.html","2024-02-05T01:17:37.363","","0",""
"Choicehotelscom","54827","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3328/809/Exc_638426926370333893_0001_1.html","2024-02-05T01:17:26.937","","0",""
"Choicehotelscom","42564","2024-03-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3194/809/Exc_638426924726795973_0001_1.html","2024-02-05T01:15:46.457","","0",""
"Choicehotelscom","42564","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3173/809/Exc_638426924212351588_0001_1.html","2024-02-05T01:13:55.243","","0",""
"Choicehotelscom","42564","2024-02-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3154/809/Exc_638426923937033083_0001_1.html","2024-02-05T01:13:25.653","","0",""
"Choicehotelscom","42372","2024-05-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3145/809/Exc_638426923713401193_0001_1.html","2024-02-05T01:13:00.177","","0",""
"Choicehotelscom","42372","2024-03-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3118/809/Exc_638426923213369819_0001_1.html","2024-02-05T01:12:14.443","","0",""
"Choicehotelscom","42137","2024-05-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3018/809/Exc_638426921344362673_0001_1.html","2024-02-05T01:09:05.623","","0",""
"Choicehotelscom","42137","2024-03-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/2989/809/Exc_638426920917237117_0001_1.html","2024-02-05T01:08:19.647","","0",""
"Choicehotelscom","42137","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/2971/809/Exc_638426920371174187_0001_1.html","2024-02-05T01:07:31.873","","0",""
"Choicehotelscom","23716","2024-05-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/2947/809/Exc_638426920117645347_0001_1.html","2024-02-05T01:07:06.233","","0",""
"Choicehotelscom","42372","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3055/809/Exc_638426921889294582_0001_1.html","2024-02-05T01:10:05.523","","0",""
"Choicehotelscom","69065","2024-02-12","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3338/809/Exc_638426926451778001_0001_1.html","2024-02-05T01:17:37.327","","0",""
"Choicehotelscom","54827","2024-03-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3349/809/Exc_638426926723550197_0001_1.html","2024-02-05T01:18:08.450","","0",""
"Choicehotelscom","69065","2024-03-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4784/3352/809/Exc_638426926844949799_0001_1.html","2024-02-05T01:18:12.623","","0",""
