"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Choicehotelscom","10937","2024-03-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/946/809/Exc_638396680921412360_0001.html","2024-01-01T01:08:28.580","","0",""
"Choicehotelscom","9216","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/847/809/Exc_638396681259029834_0001.html","2024-01-01T01:08:55.933","","0",""
"Choicehotelscom","9217","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/848/809/Exc_638396681269499265_0001.html","2024-01-01T01:08:58.670","","0",""
"Choicehotelscom","9214","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/853/809/Exc_638396681310786507_0001.html","2024-01-01T01:09:04.100","","0",""
"Choicehotelscom","9216","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/855/809/Exc_638396681350872665_0001.html","2024-01-01T01:09:07.817","","0",""
"Choicehotelscom","9216","2024-01-22","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/862/809/Exc_638396681422767505_0001.html","2024-01-01T01:09:11.690","","0",""
"Choicehotelscom","9217","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/856/809/Exc_638396681361292063_0001.html","2024-01-01T01:09:12.717","","0",""
"Choicehotelscom","9214","2024-01-22","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/860/809/Exc_638396681412578315_0001.html","2024-01-01T01:09:14.227","","0",""
"Choicehotelscom","9217","2024-01-22","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/863/809/Exc_638396681453034808_0001.html","2024-01-01T01:09:16.777","","0",""
"Choicehotelscom","9217","2024-01-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/869/809/Exc_638396681514360134_0001.html","2024-01-01T01:09:23.307","","0",""
"Choicehotelscom","10935","2024-03-01","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/873/809/Exc_638396681535088810_0001.html","2024-01-01T01:09:25.667","","0",""
"Choicehotelscom","9264","2024-03-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/881/809/Exc_638396681586044772_0001.html","2024-01-01T01:09:30.743","","0",""
"Choicehotelscom","9264","2024-03-01","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/876/809/Exc_638396681545458166_0001.html","2024-01-01T01:09:35.043","","0",""
"Choicehotelscom","35680","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/958/809/Exc_638396681870601409_0001.html","2024-01-01T01:09:58.880","","0",""
"Choicehotelscom","23716","2024-03-01","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/968/809/Exc_638396682056449033_0001.html","2024-01-01T01:10:16.823","","0",""
"Choicehotelscom","9214","2024-01-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/866/809/Exc_638396681463274043_0001.html","2024-01-01T01:10:17.993","","0",""
"Choicehotelscom","10935","2024-01-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/867/809/Exc_638396681473573336_0001.html","2024-01-01T01:10:24.107","","0",""
"Choicehotelscom","23716","2024-03-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/969/809/Exc_638396682149683135_0001.html","2024-01-01T01:10:25.783","","0",""
"Choicehotelscom","39352","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/1011/809/Exc_638396684354338237_0001.html","2024-01-01T01:14:09.100","","0",""
"Choicehotelscom","36933","2024-01-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/1009/809/Exc_638396684311809876_0001.html","2024-01-01T01:14:11.463","","0",""
"Choicehotelscom","36933","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/1013/809/Exc_638396684506385360_0001.html","2024-01-01T01:14:23.347","","0",""
"Choicehotelscom","39364","2024-01-08","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/1014/809/Exc_638396684566559633_0001.html","2024-01-01T01:14:27.147","","0",""
"Choicehotelscom","39352","2024-01-22","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/1015/809/Exc_638396684566749797_0001.html","2024-01-01T01:14:36.633","","0",""
"Choicehotelscom","39364","2024-01-22","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/1018/809/Exc_638396684710219191_0001.html","2024-01-01T01:14:51.217","","0",""
"Choicehotelscom","39352","2024-01-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/1019/809/Exc_638396684750825827_0001.html","2024-01-01T01:14:52.727","","0",""
"Choicehotelscom","42372","2024-01-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4749/1020/809/Exc_638396684841567665_0001.html","2024-01-01T01:14:55.293","","0",""
