"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Choicehotelscom","10935","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4110/809/Exc_638505581436155055_0001_2.html","2024-05-06T02:10:07.687","","0",""
"Choicehotelscom","9264","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/2024/809/Exc_638505580009241525_0001_2.html","2024-05-06T02:08:01.593","","0",""
"Choicehotelscom","9217","2024-08-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/6229/809/Exc_638505580030516221_0001_2.html","2024-05-06T02:08:02.477","","0",""
"Choicehotelscom","10935","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5163/809/Exc_638505580458178632_0001_2.html","2024-05-06T02:08:46.230","","0",""
"Choicehotelscom","9264","2024-08-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/6236/809/Exc_638505580311529318_0001_2.html","2024-05-06T02:08:50.137","","0",""
"Choicehotelscom","9216","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/955/809/Exc_638505580298029206_0001_2.html","2024-05-06T02:08:49.830","","0",""
"Choicehotelscom","9217","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4123/809/Exc_638505580919631369_0001_2.html","2024-05-06T02:10:02.967","","0",""
"Choicehotelscom","9214","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3056/809/Exc_638505581056051186_0001_2.html","2024-05-06T02:10:29.190","","0",""
"Choicehotelscom","10937","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3043/809/Exc_638505581703758710_0001_2.html","2024-05-06T02:10:52.760","","0",""
"Choicehotelscom","10937","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/1990/809/Exc_638505581711738110_0001_2.html","2024-05-06T02:10:51.733","","0",""
"Choicehotelscom","9214","2024-08-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/6215/809/Exc_638505581696808852_0001_2.html","2024-05-06T02:10:53.413","","0",""
"Choicehotelscom","9264","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5183/809/Exc_638505581707716444_0001_2.html","2024-05-06T02:10:52.483","","0",""
"Choicehotelscom","9216","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5167/809/Exc_638505581695692221_0001_2.html","2024-05-06T02:10:58.320","","0",""
"Choicehotelscom","9264","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4130/809/Exc_638505581707140517_0001_2.html","2024-05-06T02:11:12.110","","0",""
"Choicehotelscom","9214","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/950/809/Exc_638505582639261935_0001_2.html","2024-05-06T02:12:25.940","","0",""
"Choicehotelscom","10935","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/951/809/Exc_638505583351387023_0001_2.html","2024-05-06T02:13:54.217","","0",""
"Choicehotelscom","9214","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5162/809/Exc_638505584188603067_0001_2.html","2024-05-06T02:15:39.473","","0",""
"Choicehotelscom","9216","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/2008/809/Exc_638505584350382001_0001_2.html","2024-05-06T02:15:44.393","","0",""
"Choicehotelscom","9264","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/971/809/Exc_638505585313733084_0001_2.html","2024-05-06T02:19:12.557","","0",""
"Choicehotelscom","10937","2024-08-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/6202/809/Exc_638505586080951891_0001_2.html","2024-05-06T02:20:20.530","","0",""
"Choicehotelscom","9214","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4109/809/Exc_638505587164313637_0001_2.html","2024-05-06T02:20:27.003","","0",""
"Choicehotelscom","9216","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3061/809/Exc_638505588487470965_0001_2.html","2024-05-06T02:22:47.017","","0",""
"Choicehotelscom","9217","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/2017/809/Exc_638505589050603346_0001_2.html","2024-05-06T02:23:12.437","","0",""
"Choicehotelscom","10935","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3057/809/Exc_638505589302429984_0001_2.html","2024-05-06T02:23:53.580","","0",""
"Choicehotelscom","10937","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4096/809/Exc_638505589575245741_0001_2.html","2024-05-06T02:24:08.070","","0",""
"Choicehotelscom","35680","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/202/809/Exc_638505588620365911_0001_2.html","2024-05-06T02:24:09.270","","0",""
"Choicehotelscom","23716","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/2732/809/Exc_638505588989278544_0001_2.html","2024-05-06T02:24:22.930","","0",""
"Choicehotelscom","36933","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5181/809/Exc_638505589948416123_0001_2.html","2024-05-06T02:24:36.620","","0",""
"Choicehotelscom","36933","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4128/809/Exc_638505589948383497_0001_2.html","2024-05-06T02:24:34.787","","0",""
"Choicehotelscom","10937","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/937/809/Exc_638505590554167923_0001_2.html","2024-05-06T02:25:46.150","","0",""
"Choicehotelscom","23716","2024-08-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5891/809/Exc_638505589928348057_0001_2.html","2024-05-06T02:26:44.680","","0",""
"Choicehotelscom","35680","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/1255/809/Exc_638505591358860711_0001_2.html","2024-05-06T02:26:57.077","","0",""
"Choicehotelscom","10935","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/2004/809/Exc_638505590719809784_0001_2.html","2024-05-06T02:27:33.997","","0",""
"Choicehotelscom","39352","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/956/809/Exc_638505592238150551_0001_2.html","2024-05-06T02:28:18.213","","0",""
"Choicehotelscom","23716","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3785/809/Exc_638505592276442092_0001_2.html","2024-05-06T02:28:59.357","","0",""
"Choicehotelscom","36933","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/969/809/Exc_638505592132945597_0001_2.html","2024-05-06T02:28:57.607","","0",""
"Choicehotelscom","23716","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/626/809/Exc_638505592821396576_0001_2.html","2024-05-06T02:29:52.353","","0",""
"Choicehotelscom","39352","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3062/809/Exc_638505593194935139_0001_2.html","2024-05-06T02:30:33.490","","0",""
"Choicehotelscom","9217","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/964/809/Exc_638505592079117719_0001_2.html","2024-05-06T02:30:44.713","","0",""
"Choicehotelscom","39352","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5168/809/Exc_638505593604153593_0001_2.html","2024-05-06T02:30:47.493","","0",""
"Choicehotelscom","39364","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/2046/809/Exc_638505593713916539_0001_2.html","2024-05-06T02:30:54.260","","0",""
"Choicehotelscom","10937","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5149/809/Exc_638505593685726440_0001_2.html","2024-05-06T02:31:53.410","","0",""
"Choicehotelscom","39352","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4115/809/Exc_638505594586077754_0001_2.html","2024-05-06T02:32:18.843","","0",""
"Choicehotelscom","35680","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4414/809/Exc_638505592975759859_0001_2.html","2024-05-06T02:32:31.250","","0",""
"Choicehotelscom","36933","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3075/809/Exc_638505594233992635_0001_2.html","2024-05-06T02:33:32.397","","0",""
"Choicehotelscom","39364","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5205/809/Exc_638505595576508397_0001_2.html","2024-05-06T02:34:43.540","","0",""
"Choicehotelscom","9264","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3077/809/Exc_638505596841445717_0001_2.html","2024-05-06T02:36:04.610","","0",""
"Choicehotelscom","42137","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3614/809/Exc_638505596842494889_0001_2.html","2024-05-06T02:36:02.577","","0",""
"Choicehotelscom","42372","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/962/809/Exc_638505596826117307_0001_2.html","2024-05-06T02:36:09.323","","0",""
"Choicehotelscom","42372","2024-08-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/6227/809/Exc_638505596841509862_0001_2.html","2024-05-06T02:36:09.250","","0",""
"Choicehotelscom","42137","2024-08-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/5720/809/Exc_638505596864247591_0001_2.html","2024-05-06T02:36:31.850","","0",""
"Choicehotelscom","42372","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/2015/809/Exc_638505596826274293_0001_2.html","2024-05-06T02:36:32.433","","0",""
"Choicehotelscom","35680","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3361/809/Exc_638505597091468433_0001_2.html","2024-05-06T02:36:36.670","","0",""
"Choicehotelscom","39364","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4152/809/Exc_638505599226969494_0001_2.html","2024-05-06T02:40:10.550","","0",""
"Choicehotelscom","36933","2024-08-04","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/6234/809/Exc_638505599659245937_0001_2.html","2024-05-06T02:41:10.720","","0",""
"Choicehotelscom","42137","2024-05-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/1508/809/Exc_638505598492081720_0001_2.html","2024-05-06T02:43:18.433","","0",""
"Choicehotelscom","23716","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4838/809/Exc_638505602430421824_0001_2.html","2024-05-06T02:45:31.550","","0",""
"Choicehotelscom","39364","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/993/809/Exc_638505602541155102_0001_2.html","2024-05-06T02:45:45.770","","0",""
"Choicehotelscom","42137","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4667/809/Exc_638505603719678098_0001_2.html","2024-05-06T02:47:36.237","","0",""
"Choicehotelscom","39364","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3099/809/Exc_638505602823366647_0001_2.html","2024-05-06T02:51:01.237","","0",""
"Choicehotelscom","42137","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/455/809/Exc_638505605934339202_0001_2.html","2024-05-06T02:51:14.940","","0",""
"Choicehotelscom","42564","2024-05-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/358/809/Exc_638505606244185232_0001_2.html","2024-05-06T02:51:44.250","","0",""
"Choicehotelscom","42564","2024-07-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/4570/809/Exc_638505606235331160_0001_2.html","2024-05-06T02:51:46.267","","0",""
"Choicehotelscom","42564","2024-06-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3517/809/Exc_638505606231557638_0001_2.html","2024-05-06T02:52:04.950","","0",""
"Choicehotelscom","42372","2024-05-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4875/25158668/3068/809/Exc_638505608775918801_0001_2.html","2024-05-06T02:56:47.630","","0",""
