"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Choicehotelscom","36933","2023-12-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1114/809/Exc_638348296686839569_0001.html","2023-11-06T01:08:32.460","","0",""
"Choicehotelscom","23716","2023-11-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1140/809/Exc_638348297404276093_0001.html","2023-11-06T01:09:25.397","","0",""
"Choicehotelscom","9264","2023-12-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1115/809/Exc_638348296756682500_0001.html","2023-11-06T01:08:24.233","","0",""
"Choicehotelscom","10935","2023-12-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1111/809/Exc_638348296482395322_0001.html","2023-11-06T01:08:09.223","","0",""
"Choicehotelscom","9216","2023-12-06","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1112/809/Exc_638348296553219141_0001.html","2023-11-06T01:08:04.470","","0",""
"Choicehotelscom","10937","2023-11-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1141/809/Exc_638348297424084197_0001.html","2023-11-06T01:09:32.473","","0",""
"Choicehotelscom","39364","2023-11-13","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/797/809/Exc_638348297584564596_0001.html","2023-11-06T01:09:46.587","","0",""
"Choicehotelscom","9264","2023-11-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1138/809/Exc_638348297383967785_0001.html","2023-11-06T01:09:21.743","","0",""
"Choicehotelscom","9216","2023-11-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1125/809/Exc_638348297090283137_0001.html","2023-11-06T01:09:06.460","","0",""
"Choicehotelscom","36933","2023-11-27","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4693/1127/809/Exc_638348297101042818_0001.html","2023-11-06T01:09:04.387","","0",""
