"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Choicehotelscom","35680","2023-11-01","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/299/809/Exc_638318091986102656_0001.html","2023-10-02T02:07:17.437","","0",""
"Choicehotelscom","9214","2023-12-31","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/461/809/Exc_638318091993934495_0001.html","2023-10-02T02:07:23.820","","0",""
"Choicehotelscom","9214","2023-11-01","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/25/809/Exc_638318091991912810_0001.html","2023-10-02T02:07:23.657","","0",""
"Choicehotelscom","9214","2023-10-23","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/47/809/Exc_638318091995883391_0001.html","2023-10-02T02:07:29.047","","0",""
"Choicehotelscom","10935","2023-10-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/22/809/Exc_638318091991561876_0001.html","2023-10-02T02:07:33.080","","0",""
"Choicehotelscom","36933","2023-10-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/338/809/Exc_638318093986682260_0001.html","2023-10-02T02:10:53.217","","0",""
"Choicehotelscom","9214","2023-10-09","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/334/809/Exc_638318093986281872_0001.html","2023-10-02T02:10:51.443","","0",""
"Choicehotelscom","35680","2023-10-23","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/306/809/Exc_638318091986042587_0001.html","2023-10-02T02:07:31.870","","0",""
"Choicehotelscom","36933","2023-10-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/17/809/Exc_638318091991672169_0001.html","2023-10-02T02:07:36.963","","0",""
"Choicehotelscom","9216","2023-10-05","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4658/23/809/Exc_638318091991632059_0001.html","2023-10-02T02:07:38.147","","0",""
