"Website","HotelId","CheckInDate","LengthOfStay","MappedRoomType","OccupancyAdult","OccupancyChild","RoomType","BoardType","Price","AlternatePrice","TaxAmount","Currency","CachedPagePath","ShopTime","CancelationPolicy","Refundable","MappedBoardType"
"Choicehotelscom","9214","2024-03-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/865/809/Exc_638372488580101366_0001.html","2023-12-04T01:07:49.813","","0",""
"Choicehotelscom","10935","2024-03-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/866/809/Exc_638372488583544487_0001.html","2023-12-04T01:07:51.637","","0",""
"Choicehotelscom","9264","2024-03-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/869/809/Exc_638372488615943689_0001.html","2023-12-04T01:07:51.903","","0",""
"Choicehotelscom","23716","2023-12-11","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/871/809/Exc_638372488618225755_0001.html","2023-12-04T01:07:51.817","","0",""
"Choicehotelscom","10937","2024-03-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/864/809/Exc_638372488580641869_0001.html","2023-12-04T01:07:53.443","","0",""
"Choicehotelscom","9217","2023-12-11","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/854/809/Exc_638372488354827348_0001.html","2023-12-04T01:07:35.657","","0",""
"Choicehotelscom","9214","2023-12-11","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/851/809/Exc_638372488355139795_0001.html","2023-12-04T01:07:23.547","","0",""
"Choicehotelscom","35680","2023-12-07","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/840/809/Exc_638372488350920878_0001.html","2023-12-04T01:07:30.670","","0",""
"Choicehotelscom","36933","2023-12-11","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/855/809/Exc_638372488354671034_0001.html","2023-12-04T01:07:29.610","","0",""
"Choicehotelscom","10937","2024-01-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/844/809/Exc_638372488351858416_0001.html","2023-12-04T01:07:28.813","","0",""
"Choicehotelscom","9217","2024-01-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/848/809/Exc_638372488353108467_0001.html","2023-12-04T01:07:29.263","","0",""
"Choicehotelscom","35680","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/842/809/Exc_638372488351389655_0001.html","2023-12-04T01:07:30.453","","0",""
"Choicehotelscom","9216","2024-01-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/847/809/Exc_638372488353108467_0001.html","2023-12-04T01:07:28.923","","0",""
"Choicehotelscom","23716","2024-01-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/858/809/Exc_638372488357014874_0001.html","2023-12-04T01:07:27.377","","0",""
"Choicehotelscom","9216","2023-12-11","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/853/809/Exc_638372488356546106_0001.html","2023-12-04T01:07:26.807","","0",""
"Choicehotelscom","9214","2024-01-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/845/809/Exc_638372488352639694_0001.html","2023-12-04T01:07:26.493","","0",""
"Choicehotelscom","9217","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/875/809/Exc_638372488635761571_0001.html","2023-12-04T01:07:54.853","","0",""
"Choicehotelscom","9216","2023-12-25","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/897/809/Exc_638372489012171056_0001.html","2023-12-04T01:08:30.683","","0",""
"Choicehotelscom","9264","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/876/809/Exc_638372488645740567_0001.html","2023-12-04T01:07:56.990","","0",""
"Choicehotelscom","35680","2024-01-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/879/809/Exc_638372488786637638_0001.html","2023-12-04T01:08:08.757","","0",""
"Choicehotelscom","10935","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/882/809/Exc_638372488796876885_0001.html","2023-12-04T01:08:10.700","","0",""
"Choicehotelscom","23716","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/883/809/Exc_638372488806935957_0001.html","2023-12-04T01:08:10.927","","0",""
"Choicehotelscom","10937","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/880/809/Exc_638372488786617628_0001.html","2023-12-04T01:08:11.577","","0",""
"Choicehotelscom","23716","2023-12-07","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/885/809/Exc_638372488817275606_0001.html","2023-12-04T01:08:13.433","","0",""
"Choicehotelscom","35680","2023-12-25","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/887/809/Exc_638372488827504497_0001.html","2023-12-04T01:08:13.940","","0",""
"Choicehotelscom","23716","2023-12-25","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/888/809/Exc_638372488837614196_0001.html","2023-12-04T01:08:17.620","","0",""
"Choicehotelscom","9214","2023-12-25","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/895/809/Exc_638372488990541551_0001.html","2023-12-04T01:08:27.180","","0",""
"Choicehotelscom","35680","2023-12-11","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/889/809/Exc_638372488939645647_0001.html","2023-12-04T01:08:30.113","","0",""
"Choicehotelscom","9214","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/881/809/Exc_638372488786737728_0001.html","2023-12-04T01:08:07.637","","0",""
"Choicehotelscom","36933","2023-12-25","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/899/809/Exc_638372489052027010_0001.html","2023-12-04T01:08:36.863","","0",""
"Choicehotelscom","9217","2023-12-25","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/898/809/Exc_638372489031708673_0001.html","2023-12-04T01:08:37.107","","0",""
"Choicehotelscom","9216","2023-12-07","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/904/809/Exc_638372489162726842_0001.html","2023-12-04T01:08:47.953","","0",""
"Choicehotelscom","36933","2023-12-07","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/906/809/Exc_638372489183405542_0001.html","2023-12-04T01:08:48.700","","0",""
"Choicehotelscom","9217","2023-12-07","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/905/809/Exc_638372489163237302_0001.html","2023-12-04T01:08:48.933","","0",""
"Choicehotelscom","35680","2024-03-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/908/809/Exc_638372489213542677_0001.html","2023-12-04T01:08:50.717","","0",""
"Choicehotelscom","42372","2024-03-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/951/809/Exc_638372490350067743_0001.html","2023-12-04T01:10:47.777","","0",""
"Choicehotelscom","39364","2024-03-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/953/809/Exc_638372490400082841_0001.html","2023-12-04T01:10:50.217","","0",""
"Choicehotelscom","42372","2024-01-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/945/809/Exc_638372490238397021_0001.html","2023-12-04T01:10:37.047","","0",""
"Choicehotelscom","39352","2024-03-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/950/809/Exc_638372490349877568_0001.html","2023-12-04T01:10:48.100","","0",""
"Choicehotelscom","39352","2024-01-03","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/944/809/Exc_638372490167903441_0001.html","2023-12-04T01:10:26.587","","0",""
"Choicehotelscom","42372","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/955/809/Exc_638372490440088928_0001.html","2023-12-04T01:10:55.497","","0",""
"Choicehotelscom","39352","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/954/809/Exc_638372490430610379_0001.html","2023-12-04T01:10:55.543","","0",""
"Choicehotelscom","39364","2024-02-02","1","","2","0","","","-1.00","-1.00","","USD","http://s3.us-central-1.wasabisys.com/iaas-pg-ota-cache-7d/844/4721/957/809/Exc_638372490500573476_0001.html","2023-12-04T01:10:58.557","","0",""
